ID,Question,Keyword_Recall_Score,Semantic_Similarity_Score,Mixed_Score
TEST_004,트로이 목마(Trojan) 기반 원격제어 악성코드(RAT)의 특징과 주요 탐지 지표를 설명하세요.,0.0,0.8423178,0.5053907036781311
TEST_007,전자금융거래법에 따라 이용자가 금융 분쟁조정을 신청할 수 있는 기관을 기술하세요.,0.2857142857142857,0.87874484,0.6415326663425991
TEST_082,딥페이크 기술 악용에 대비한 금융권의 대응 방안을 기술하세요.,0.0,0.869977,0.5219862461090088
TEST_101,디지털 지갑(Digital Wallet)에서 우려되는 주요 보안 위협을 설명하세요.,0.07692307692307693,0.8373662,0.5331890005331773
TEST_102,"개인정보 접근 권한 검토는 어떻게 수행해야 하며, 그 목적은 무엇인가요?",0.1111111111111111,0.7846754,0.515249702003267
TEST_126,정보보호의 3대 요소에 해당하는 보안 목표를 3가지 기술하세요.,0.3,0.85680515,0.6340830874443054
TEST_131,"금융회사가 정보보호 예산을 관리할 때, 전자금융감독규정상 정보기술부문 인력 및 예산의 기준 비율은 얼마인가요?",0.3333333333333333,0.7959869,0.6109254737695058
TEST_182,SMTP 프로토콜의 보안상 주요 역할을 설명하세요.,0.3,0.8824488,0.6494693112373352
TEST_199,ID/PW 기반 인증 환경에서 발생할 수 있는 대표적인 공격 유형을 2가지 이상 서술하고 대응 방안을 설명하세요.,0.0,0.81949306,0.4916958510875702
TEST_205,전자자금이체의 지급 효력 발생 시점을 전자금융거래법 기준에 따라 설명하세요.,0.2857142857142857,0.83055663,0.6126197048595974
TEST_245,DNSSEC의 주요 기능과 이를 통해 해결할 수 있는 보안 위협을 설명하세요.,0.14285714285714285,0.9118794,0.60427052123206
TEST_416,VLAN(Virtual LAN)의 주요 기능을 설명하세요.,0.125,0.8430526,0.5558315992355347
TEST_458,"개인신용평점 하락 가능성과 관련해 설명의무가 발생하는 경우, 금융기관이 설명해야 할 주요 내용은 무엇인가요?",0.125,0.74975574,0.49985345005989074
TEST_471,인증 및 권한관리 측면에서 특수 계정에 대한 보안조치 방안은 무엇인가요?,0.09090909090909091,0.91177166,0.583426629413258
TEST_507,전자금융데이터 보안에서 암호화 방식을 선택할 때 고려해야 할 주요 기준은 무엇인가요?,0.2,0.7855597,0.5513358581066132
