ID,Question,정답
TEST_366,"다음 중 서비스 거부(DoS) 공격의 특징으로 가장 적절한 것은?
1 특정 시스템의 자원을 소진시켜 정상적인 서비스를 방해한다.
2 네트워크 패킷을 변조하여 정보를 탈취한다.
3 방화벽 설정을 우회하여 내부 데이터베이스에 직접 접근한다.
4 다수의 컴퓨터를 이용하여 공격을 수행한다.
5 네트워크 트래픽을 암호화하여 보안을 강화한다.",1
TEST_112,"다음 중 직접금융시장에 해당하는 금융상품은?
1 보험
2 예금
3 대출
4 채권",4
TEST_213,"다음 중 메일 보안에서 SMTP 프로토콜의 역할로 가장 적절한 것은?
1 메일 전송을 위한 프로토콜이다.
2 메일의 암호화를 담당한다.
3 메일의 기밀성을 보장한다.
4 메일 수신을 위한 프로토콜이다.",1
TEST_159,"집적된 정보통신시설의 보호와 관련하여 정보통신서비스 제공의 중단이 발생했을 때, 과학기술정보통신부장관에게 보고해야 하는 사항으로 옳지 않은 것은?
1 정보통신서비스 제공의 중단이 발생한 일시 및 장소
2 정보통신서비스 제공의 중단이 발생한 원인에 대한 법적 책임
3 정보통신서비스 제공의 중단이 발생한 원인 및 피해내용
4 응급조치 사항",2
TEST_422,"다음 중 은행업권에서 유가증권 투자에 대한 설명으로 가장 적절한 것은?
1 유가증권 투자는 은행의 부수업무로 제한된다.
2 유가증권 투자는 은행의 고유업무로 분류된다.
3 은행은 유가증권 투자를 통해 주로 단기 수익을 추구한다.
4 유가증권 투자는 은행의 신용위험을 완전히 제거할 수 있는 방법이다.
5 은행은 유가증권 투자를 통해 자산의 다양화와 수익성 제고를 도모한다.",5
TEST_424,"금융전산망의 이해와 관련하여 금융공동망의 주요 기능으로 옳은 것은?
1 금융정보의 비공유
2 금융기관 간의 정보 교환 및 처리
3 금융기관 간의 독립적 운영
4 금융기관의 전산망 분리",2
TEST_374,"사설가상망(VPN)의 주요 기능으로 가장 적절한 것은?
1 데이터 압축
2 데이터 삭제
3 사용자 인증 우회
4 데이터 암호화
5 데이터 복제",4
TEST_441,"개인정보보호법 제35조의4에 따르면, 개인정보 전송 요구를 받은 개인정보처리자가 전송을 거절할 수 있는 경우는 무엇인가?
1 정보주체가 전송 요구를 철회한 경우
2 정보주체의 본인 여부가 확인되지 않는 경우
3 개인정보가 암호화되어 저장된 경우
4 개인정보가 공공기관에 의해 수집된 경우
5 개인정보가 이미 다른 기관에 전송된 경우",2
TEST_278,"공개 키 기반 분배 방식의 원리에 대한 설명으로 가장 적절한 것은?
1 대칭 키와 비대칭 키를 혼합하여 사용한다.
2 비공개 키를 사용하여 데이터를 암호화하고 공개 키로 복호화한다.
3 대칭 키를 사용하여 데이터를 암호화한다.
4 공개 키를 사용하여 데이터를 암호화하고 비공개 키로 복호화한다.",4
TEST_325,"전자금융거래법 제6조의2에 따르면, 불법 광고에 이용된 전화번호에 대해 전기통신역무 제공의 중지를 요청할 수 있는 기관은?
1 방송통신위원회
2 금융회사
3 과학기술정보통신부장관
4 금융정보분석원장
5 검찰총장",3
